gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.404308, d0W0.256462, d0W0.556462, d0W1.30431, d0W2.5, d1W1, d1W0.404308, d1W0.256462, d1W0.556462, d1W1.30431, d1W2.5, 
0, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
100, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
200, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
300, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
400, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
500, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
600, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
700, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
800, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
900, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
